Gender,Age,Song-Artist,Mood,Time of the day,Location,Activity
Female,34,Mabel - Mad Love,Calm,Afternoon,Home,studing
Female,35,Mabel-Mad Love,Calm,Afternoon,Home,studing
Female,36,Jonas Blue & Tiësto - Ritual (Lyrics) Ft. Rita Ora,Calm,Afternoon,Home,studing
Female,37,Kygo - Carry On (Lyrics) ft. Rita Ora,Calm,Afternoon,Home,studing
Female,38,Rita Ora - Let You Love Me,Calm,Afternoon,Home,studing
Female,39,Demi Lovato - No Promises,Calm,Afternoon,Home,studing
Female,40,The Chainsmokers - HOPE,Calm,Afternoon,Home,studing
Female,41,The Chainsmokers - Closer ft. Halsey,Calm,Afternoon,Home,studing
Female,42,Kygo - Higher Love (feat. Whitney Houston),Calm,Morning,Work,Working
Female,43,Runnin' (Lose it all) - Naughty Boy ft. Beyoncé & Arrow Benjamin,Calm,Morning,Work,Working
Female,44,Calvin Harris Sam Smith - Promises,Calm,Morning,Work,Working
Female,45,Mabel - Don't Call Me Up,Calm,Morning,Work,Working
Female,46,Jax Jones - Breathe (Visualiser) ft. Ina Wroldsen,Calm,Morning,Work,Working
Female,47,Nuvole Bianche - Live at the Old Vic Tunnels,Sad,Morning,Work,Working
Female,48,Ludovico Einaudi - Una Mattina ,Sad,Morning,Work,Working
Female,49,Ludovico Einaudi -  Experience (Live at Fabric Yellow Lounge London) ,Sad,Morning,Work,Working
Female,50,Ludovico Einaudi - Divenire,Sad,Morning,Work,Working
Female,51,Ludovico Einaudi-Oltremare,Sad,Morning,Work,Working
Female,52,Ludovico Einaudi-Night,Sad,Morning,Work,Working
Female,53,Ludovico Einaudi-Fly,Sad,Morning,Work,Working
Female,54,Ludovico Einaudi-Andare,Sad,Morning,Work,Working
Female,55,Ludovico Einaudi-Primavera,Sad,Morning,Work,Working
Female,56,Ludovico Einaudi - Elegy For The Arctic (Live),Sad,Morning,Work,Working
Female,57,Yann Tiersen - Comptine d'un autre été,Peaceful,Night,Work,Working
Female,58,Yann Tiersen - La Valse d'Amélie (Version Orchestra),Peaceful,Night,Work,Working
Female,59,Yann Tiersen - Amelie - La noyee,Peaceful,Night,Work,Working
Female,60,Yann Tiersen - Porz Goret,Peaceful,Night,Work,Working
Female,61,Yann Tiersen - Summer '78,Peaceful,Night,Work,Working
Female,62,Yann Tiersen - Mother's Journey,Peaceful,Night,Work,Working
Female,63,Yann Tiersen - Le Moulin,Peaceful,Night,Work,Working
Female,64,Yann Tiersen - La Veillée,Peaceful,Night,Work,Working
Female,65,Yann Tiersen - Les jours tristes,Peaceful,Night,Work,Working
Female,66,Yann Tiersen - La Plage,Peaceful,Night,Work,Working
Female,67,firewind - Maniac,Angry,Midday,Work,Working
Female,68,firewind - The Fire and the Fury,Angry,Midday,Work,Working
Female,69,firewind - Ode to Leonidas,Angry,Midday,Work,Working
Female,70,firewind - Guitar Solo (Live in Greece 2008),Angry,Midday,Work,Working
Female,71,firewind - Head Up High,Angry,Midday,Work,Working
Female,72,firewind- Breaking the Silence,Angry,Midday,Work,Working
Female,73,firewind - World On Fire,Angry,Midday,Work,Working
Female,74,firewind - Lady of 1000 Sorrows,Angry,Midday,Work,Working
Female,75,firewind - Falling To Pieces,Angry,Midday,Work,Working
Female,76,firewind - I Am The Anger (Remaster),Angry,Midday,Work,Working
Female,77,GusG-Thrill of the Chase,Angry,Midday,Work,Working
Female,78,GusG-The Quest,Angry,Midday,Work,Working
Female,79,GusG-Don't Tread on Me,Angry,Midday,Work,Working
Female,80,GusG-Fearless,Angry,Midday,Work,Working
Female,81,GusG-I Am the Fire,Angry,Midday,Work,Working
Female,82,GusG-Brand New Revolution,Angry,Midday,Work,Working
Female,83,GusG-My Will Be Done,Angry,Midday,Work,Working
Female,84,GusG-Long Way Down,Angry,Midday,Work,Working
Female,85,GusG-Eyes Wide Open,Angry,Midday,Work,Working
Female,86,Maluma - 11 PM,Bored,Morning,Work,Working
Female,87,J Balvin & Pitbull - Hey Ma (feat. Camila Cabello),Bored,Morning,Work,Working
Female,88,Ricky Martin - Vente Pa' Ca,Bored,Morning,Work,Working
Female,89,Nicky Jam - X ft. J Balvin,Bored,Morning,Work,Working
Female,90,Maluma - Sin Contrato,Bored,Morning,Work,Working
Female,91,Thalía  Natti Natasha - No Me Acuerdo ,Bored,Morning,Work,Working
Female,92,Maluma - El Préstamo,Bored,Morning,Work,Working
Female,93,Enrique Iglesias - EL BAÑO,Bored,Morning,Work,Working
Female,94,Maluma - HP,Bored,Morning,Work,Working
Female,95,CNCO Prince Royce - Llegaste Tú,Bored,Morning,Work,Working
