Gender,Age,Song-Artist,Mood,Time of the day,Location,Activity
MALE,40,Guns n Roses - Patience ,Calm,Midday,Work,Working
MALE,41,Extreme - More than words,Calm,Midday,Work,Working
MALE,42,Eagles - Hotel California,Calm,Midday,Work,Working
MALE,43,Bon Jovi - Dead or alive,Calm,Midday,Work,Working
MALE,44,Bon Jovi - Blaze of glory,Calm,Midday,Work,Working
MALE,45,Marit Larsen - If a song could get me you,Calm,Midday,Work,Working
MALE,46,Metallica - Nothing else matters,Calm,Midday,Work,Working
MALE,47,4 non blondes - What's up,Calm,Midday,Work,Working
MALE,48,Meat Loaf - I'd do anything for love,Calm,Midday,Work,Working
MALE,49,Led Zeppelin - Stairway to heaven,Calm,Midday,Work,Working
MALE,50,Twisted sister - The price,Calm,Midday,Work,Working
MALE,51,Dire Straits - Sultans of swing,Calm,Midday,Work,Working
MALE,52,ZZ Top - Sharp dressed man,Calm,Midday,Work,Working
MALE,53,Metallica - Whiskey in the jar,Peaceful,Night,Home,amusing
MALE,54,Metallica - Unforgiven,Peaceful,Night,Home,amusing
MALE,55,Led Zeppelin - Kashmir,Peaceful,Night,Home,amusing
MALE,56,Led Zeppelin - Immigrant song,Peaceful,Night,Home,amusing
MALE,57,Led Zeppelin - Black dog,Peaceful,Night,Home,amusing
MALE,58,Led Zeppelin - Rock and roll,Peaceful,Night,Home,amusing
MALE,59,The Doors - Riders on the storm,Peaceful,Night,Home,amusing
MALE,60,Deep Purple - Perfect strangers,Peaceful,Night,Home,amusing
MALE,61,Twisted Sister - We 're not gonna take it,Peaceful,Night,Home,amusing
MALE,62,Twisted sister - I wanna rock,Peaceful,Night,Home,amusing
MALE,63,AC DC - Back in black,Peaceful,Night,Home,amusing
MALE,64,AC DC - You shook me all night long,Peaceful,Night,Home,amusing
MALE,65,Iron Maiden - Fear of the dark,Calm,Morning,Home,amusing
MALE,66,Iron Maiden - Hallowed be thy name,Calm,Morning,Home,amusing
MALE,67,Iron Maiden - Wasted years,Calm,Morning,Home,amusing
MALE,68,Iron Maiden - Aces high,Calm,Morning,Home,amusing
MALE,69,Iron Maiden - Run to the hills,Calm,Morning,Home,amusing
MALE,70,Iron Maiden - The trooper,Calm,Morning,Home,amusing
MALE,71,Iron Maiden - 2 minutes to midnight,Calm,Morning,Home,amusing
MALE,72,Metallica - Enter sandman,Calm,Morning,Home,amusing
MALE,73,Metallica - Sad but true,Calm,Morning,Home,amusing
MALE,74,Metallica - Blackened,Calm,Morning,Home,amusing
MALE,75,Metallica - Master of puppets,Calm,Morning,Home,amusing
MALE,76,Metallica - Wherever I may roam,Calm,Morning,Home,amusing
MALE,77,Metallica - Seek & destroy,Calm,Morning,Home,amusing
MALE,78,AC DC - Thunderstruck,Calm,Morning,Home,amusing
MALE,79,AC DC - Highway to hell,Calm,Morning,Home,amusing
MALE,80,AC DC - Hells Bells,Calm,Morning,Home,amusing
MALE,81,AC DC - TNT,Calm,Morning,Home,amusing
MALE,82,Motorhead  - Ace of spades,Calm,Morning,Home,amusing
MALE,83,Motorhead - Eat the rich,Calm,Morning,Home,amusing
MALE,84,Motorhead - Killed by death,Calm,Morning,Home,amusing
MALE,85,Black Sabbath - Paranoid,Calm,Morning,Home,amusing
MALE,86,Firewind - Head up high,Calm,Morning,Home,amusing
MALE,87,Dragonforce - Through the fire and flames,Calm,Morning,Home,amusing
MALE,88,Steppenwolf - Born to be wild,Excited,Midday,Outdoor,driving
MALE,89,George Thorogood - Bad to the bone,Excited,Midday,Outdoor,driving
MALE,90,Ram Jam - Black Betty,Excited,Midday,Outdoor,driving
MALE,91,Deep Purple - Smoke on the water,Excited,Midday,Outdoor,driving
MALE,92,The Clash - Should I stay or should I go,Excited,Midday,Outdoor,driving
MALE,93,Motorhead - You better run,Excited,Midday,Outdoor,driving
MALE,94,Motorhead - Louie louie,Excited,Midday,Outdoor,driving
MALE,95,Gone Jackals - Legacy,Excited,Midday,Outdoor,driving
